event_id,match_id,minute,second,team_name,player_name,event_type,xg,shot_outcome,shot_type,body_part,technique,play_pattern,x,y,end_x,end_y,end_z,is_goal
aa98c6a4-c8ff-4805-bc81-d95fb9b940da,3753981,6,5,Aston Villa,Leandro Bacuna,Shot,0.024646416,Blocked,Open Play,Left Foot,Normal,Regular Play,101.4,52.9,102.9,52.1,,0
1d94c788-81cb-451a-858c-87a54d0ff2d0,3753981,13,7,Aston Villa,Jordan Veretout,Shot,0.023313923,Saved,Open Play,Left Foot,Normal,From Throw In,89.8,47.3,118.1,41.7,0.8,0
d3307835-1fa0-4e88-b8b5-af17b184ae87,3753981,19,56,Crystal Palace,Bakary Sako,Shot,0.027642893,Off T,Open Play,Left Foot,Normal,Regular Play,91.3,46.7,120.0,43.4,3.8,0
2016a8d1-f6d8-4b5d-92fd-8882e0095622,3753981,25,15,Aston Villa,Jordan Ayew,Shot,0.032908402,Off T,Open Play,Right Foot,Half Volley,From Free Kick,112.6,54.7,120.0,44.7,2.4,0
c866814a-d1ef-4d12-bbb7-889508846ef1,3753981,26,52,Crystal Palace,Damien Delaney,Shot,0.1067025,Off T,Open Play,Left Foot,Volley,From Free Kick,109.6,36.9,120.0,34.9,1.4,0
5564c220-3fa7-4d24-b88d-ebee71cc6a7e,3753981,38,8,Aston Villa,Jordan Ayew,Shot,0.042200748,Blocked,Open Play,Right Foot,Normal,Regular Play,96.5,41.0,101.0,41.0,,0
2912fa54-4c86-46b7-a6a8-d971aca80a37,3753981,40,52,Aston Villa,Jordan Ayew,Shot,0.019713575,Blocked,Open Play,Right Foot,Normal,Regular Play,89.2,37.9,93.8,37.7,,0
bd2c81c1-99d1-45eb-a0db-69b2cb405bb9,3753981,42,43,Aston Villa,Idrissa Gana Gueye,Shot,0.023367293,Blocked,Open Play,Right Foot,Normal,Regular Play,98.3,54.9,103.1,51.7,,0
b64e1ed9-02e7-4e28-87b0-6081d7d1c0a6,3753981,43,7,Aston Villa,Ashley Westwood,Shot,0.03553111,Blocked,Open Play,Right Foot,Volley,From Corner,96.6,37.2,109.3,39.4,,0
959a4333-4ec9-4210-a8cf-b5d800c891b1,3753981,45,57,Crystal Palace,Joel Ward,Shot,0.028096564,Off T,Open Play,Right Foot,Normal,From Throw In,91.6,46.3,120.0,50.6,6.7,0
