match_id,team_name,formation
3754257,Manchester City,4-4-2
3754266,Watford,4-4-2
3754266,Crystal Palace,4-2-3-1
3754256,Everton,4-2-3-1
3754256,Manchester United,4-2-3-1
3754288,West Ham United,4-2-3-1
3754288,Chelsea,4-2-3-1
3754238,AFC Bournemouth,4-4-1-1
3754238,Newcastle United,4-4-2
3754269,Swansea City,4-2-3-1
3754269,Stoke City,4-2-3-1
3754234,AFC Bournemouth,4-4-1-1
3754234,Tottenham Hotspur,4-2-3-1
3754246,Manchester City,4-2-3-1
3754246,Watford,4-4-2
3754296,Arsenal,4-2-3-1
3754296,Manchester City,4-4-1-1
3754273,Watford,4-2-3-1
3754273,West Ham United,4-2-3-1
3754263,Leicester City,4-4-1-1
3754263,Crystal Palace,4-2-3-1
3754268,Tottenham Hotspur,4-2-3-1
3754268,Everton,4-2-3-1
3754286,Watford,4-4-2
3754286,Norwich City,4-5-1
3754291,Watford,4-4-2
3754291,Tottenham Hotspur,3-4-3
3754283,Everton,4-2-3-1
3754283,Aston Villa,4-3-3
3754235,West Ham United,4-1-4-1
3754235,West Bromwich Albion,4-4-1-1
3754279,Swansea City,4-2-3-1
3754279,West Bromwich Albion,4-2-3-1
3754276,Tottenham Hotspur,4-2-3-1
3754276,Newcastle United,4-4-1-1
3754287,Chelsea,4-2-3-1
3754287,Watford,4-4-2
3754259,Swansea City,4-1-2-1-2
3754259,West Ham United,4-1-4-1
3754335,Norwich City,4-4-1-1
3754335,Leicester City,4-4-2
3754298,Swansea City,4-2-3-1
3754298,Everton,4-2-3-1
3754315,Norwich City,4-4-1-1
3754315,AFC Bournemouth,4-4-1-1
3754330,Aston Villa,3-5-2
3754330,Stoke City,4-2-3-1
3754337,Southampton,4-2-3-1
3754337,Norwich City,4-4-1-1
3754297,Manchester United,4-2-3-1
3754297,West Bromwich Albion,4-5-1
3754301,West Bromwich Albion,4-2-3-1
3754301,Arsenal,4-2-3-1
3754323,West Ham United,4-2-3-1
3754323,Norwich City,4-2-3-1
3754304,Crystal Palace,4-2-3-1
3754304,Newcastle United,4-2-3-1
3754311,Norwich City,4-4-1-1
3754311,Swansea City,4-2-3-1
3754328,Manchester City,4-2-3-1
3754328,Swansea City,4-3-3
3754309,Southampton,4-2-3-1
3754309,Arsenal,4-2-3-1
3754325,West Bromwich Albion,4-4-2
3754325,Southampton,4-1-4-1
3754329,West Ham United,4-2-3-1
3754329,Newcastle United,4-2-3-1
3754302,Southampton,4-4-1-1
3754302,Leicester City,4-4-2
3754013,Leicester City,4-4-2
3754013,Chelsea,4-2-3-1
3754044,Manchester United,4-2-3-1
3754044,Norwich City,4-4-1-1
3754351,Liverpool,4-2-3-1
3754351,Crystal Palace,4-2-3-1
3754343,Liverpool,4-2-3-1
3754343,Leicester City,4-4-2
3754109,Tottenham Hotspur,4-2-3-1
3754109,West Ham United,4-2-3-1
3754182,Norwich City,4-2-3-1
3754182,Everton,4-2-3-1
3754240,Arsenal,4-2-3-1
3754240,Stoke City,4-2-3-1
3754336,Everton,4-1-2-1-2
3754336,Chelsea,4-2-3-1
3754247,Southampton,4-2-3-1
3754247,Stoke City,4-2-3-1
3754156,Leicester City,4-4-1-1
